Zideni	56.53194	24.14722	LV	67
Ziedkalne	56.43417	23.47972	LV	12
Pieturas Punkts Ziedini	57.36238	24.51112	LV	18
Ziedini	57.36833	24.5025	LV	18
Ziedini	56.91667	22.48333	LV	27
Ziedi	57.45	27	LV	02
Ziede	57.53333	25.16667	LV	31
Zidina	55.93333	26.9	LV	07
Zideni	57.13333	26.06667	LV	72
Zibergova	56.26667	26.6	LV	E2
Zezuleva	56.06667	27.81667	LV	57
Zever-Oganas	56.56667	23.11667	LV	00
Zeti	57.15	21.46667	LV	33
Zerkli	56.21667	27.21667	LV	24
Zepi	56.40592	26.18463	LV	22
Zentene	57.13454	22.9764	LV	29
Zenini	57.05	25.88333	LV	E3
Zemlici	56.2	26.86667	LV	B3
Zemkas	56.33333	25.63333	LV	E6
Zemites	57.14988	26.52254	LV	09
Zemite	56.93333	22.8	LV	77
Dzelzcela Stacija Zemitani	56.96556	24.15583	LV	25
Zemisi	56.58333	24.8	LV	21
Zemini	57.36667	22.48333	LV	28
Zemgali	56.96667	22.01667	LV	15
Zemgali	56.2	25.66667	LV	E6
Zemgale	56.56667	23.55	LV	12
Zemgale	55.71667	26.46667	LV	07
Zemdegas	57.4	22.36667	LV	28
Zemdegu Strauts	56.56194	23.69444	LV	12
Zelvji	56.21667	26.75	LV	22
Zeltzaki	57.28333	22.4	LV	28
Zeltiski	55.78333	26.33333	LV	07
Zeltini	57.45689	26.00026	LV	30
Zeltini	57.35903	26.77711	LV	02
Zeltini	56.88333	24.375	LV	C3
Zeltini	56.55	27.28333	LV	24
Zeltini	56.38278	23.72333	LV	00
Zelten	56.55	27.9	LV	56
Zeltas	57.51667	22.38333	LV	60
Zeltapses	57.58333	22.5	LV	60
Zeltaleja	57.18683	26.85831	LV	09
Zelmeni	56.8	26.75	LV	20
Zelmeni	56.45167	23.35194	LV	D5
Zelmeni	57.43333	22.63333	LV	28
Zelmeni	56.47139	23.94778	LV	B9
Zelkalis	57.23333	25.6	LV	E3
Zelgauska	56.86209	26.11339	LV	20
Zeleznaki	56.46667	27.66667	LV	19
Zelevci	56.05	27.53333	LV	57
Zelenpole	56.26667	27.5	LV	24
Zelcava	56.51667	27.51667	LV	19
Zekes	56.58333	22.51667	LV	27
Zeileva	56.18333	27.96667	LV	57
Zeikari	57.08408	25.73985	LV	05
Zeikari	57.25	25.5	LV	A9
Zeguri	57.78333	25.8	LV	30
Zebrus	56.63333	22.98333	LV	08
Zebrene	56.60373	22.88383	LV	08
Zebras muiza	56.6475	23.03583	LV	00
Zaube	57	25.26667	LV	42
Zaube	56.98333	25.08333	LV	94
Zatiski	56.82216	27.53242	LV	19
Zati	57.16667	22.06667	LV	33
Dzelzcela Stacija Zasulauks	56.94139	24.05222	LV	25
Zastjenki	55.95031	26.70244	LV	07
Zastenski	56.75	27.73333	LV	78
Zasalu Purvs	57.25	27.2	LV	02
Zasa	56.29263	25.98164	LV	10
Zarini	57.38333	25.53333	LV	A9
Zarinki	56.07965	26.1999	LV	07
Zarini	56.63333	23.46667	LV	00
Zarini	56.35	26.68333	LV	B3
Zarini	56.05	27.41667	LV	57
Zarecje	56.73333	27.8	LV	78
Zapulu Ezers	57.0721	25.7014	LV	05
Zante	56.83333	22.73333	LV	77
Zankas	57	25.23333	LV	42
Zanenieki	56.55	22.31667	LV	27
Zilani	56.31667	25.95	LV	10
Zana	56.48333	22.11667	LV	27
Zana	56.48333	22.15	LV	27
Zamsoviki	56.15958	27.97377	LV	14
Zamoste	56.35	27.11667	LV	24
Zamezi	56.45	26.91667	LV	B3
Mezgalu Skola	56.30556	24.40556	LV	04
Zalzelti	56.78056	23.70611	LV	12
Zalvu Ezers	56.21873	26.95255	LV	00
Zalve Mezs	56.38333	25.11667	LV	98
Zalve	56.35	25.06667	LV	00
Zalve	56.33333	25.25	LV	98
Stacija Zalumi	56	26.63333	LV	07
Zalumi	56	26.6	LV	07
Zalumi	56.96667	22.43333	LV	15
Zaluksni	56.68333	27.45	LV	24
Zalmuiza	56.73333	27.4	LV	24
Zalmuguri	56.56667	22.26667	LV	27
Zalmeznieki	57.18333	27.4	LV	03
Zalmeznieki	56.75	26.61667	LV	20
Zalmezi	57.56667	21.7	LV	33
Zalites	57.28333	21.98333	LV	33
Dzelzcela Stacija Zalites	56.64167	24.08444	LV	67
Zalite	56.61722	24.08278	LV	67
Zalisi	57.48333	22.05	LV	33
Zalie	57.02806	23.06361	LV	29
Zalesje	56.33752	28.14096	LV	19
Zalenis	56.45	22.2	LV	27
Zalenieki	56.52694	23.50806	LV	12
Zaldini	56.95	23.8	LV	00
Zalani	56.58333	26.4	LV	85
Zalaki	56.41667	25.38333	LV	71
Zalais Purvs	56.95111	23.42639	LV	62
Zalaci	56.58333	26.06667	LV	85
Zakusala	56.93346	24.11842	LV	25
Zakusala	56.8	27.28333	LV	03
Zaku Mezs	56.98333	24.5	LV	26
Zakisi	56.2	26.68333	LV	E2
Zakirbji	57.38333	22.28333	LV	28
Stacija Zaki	56.38333	25.68333	LV	C2
Zaki	57.57036	26.2429	LV	30
Zaki	57.50083	24.42583	LV	C1
Zaki	57.45	25.05	LV	A4
Zakumuiza	56.96944	24.4825	LV	B5
Zaki	57.35	22	LV	33
Zaiceva	57.46633	27.4387	LV	02
Zahari	56.74166	27.88073	LV	19
Zagorskija	56.28333	28.06667	LV	E9
Zagkalni	57.13333	22.2	LV	15
Zagernieki	57.23333	27.05	LV	09
Zagatnieki	57.43333	21.76667	LV	33
Zagatnieki	57.43333	21.76667	LV	33
Zagatas	56.68174	27.01959	LV	24
Zagarje	56.43333	26.81667	LV	B3
Zagari	57.35	25.26667	LV	A9
Zadzene	56.78333	25.11667	LV	21
Zadinani	56.33333	26.05	LV	10
Zaharova	55.9852	27.6849	LV	14
Zabri	56.46667	22.98333	LV	44
Zaborovje	56.8	27.9	LV	78
Zaborie	56.16842	28.11023	LV	E9
Zabolova	57.53333	27.48333	LV	02
Zabolotjes Purvs	56.63333	28	LV	00
Zabolotje	56.43716	27.0056	LV	24
Zaboloski	56.41667	28.08333	LV	19
Zabludniki	56.23333	26.48333	LV	E2
Zabi	57.11667	21.51667	LV	33
Zabi	57.11667	21.51667	LV	33
Zabalotje	56.53999	27.48711	LV	24
Zabaku Purvs	57.81417	24.65472	LV	39
Zabaki	57.10222	24.33917	LV	34
